# ORB-slam3's format: time[ns], wx(rad/s), wy, wz, ax(m/s2), ay, az
3617334333,0.000411,-0.001296,0.002008,0.856017,-0.055997,10.260249
3627334333,0.000375,-0.001384,0.002081,0.833373,-0.096206,10.318353
3637334333,0.000365,-0.001400,0.002042,0.732451,-0.067990,10.209915
3647334333,0.000287,-0.001408,0.002046,0.636404,-0.053277,10.172844
3657334333,0.000226,-0.001407,0.002028,0.527377,-0.033460,10.087360
3667334333,0.000142,-0.001335,0.001853,0.372283,-0.074350,9.997938
3677334333,0.000186,-0.001367,0.001799,0.294234,-0.004998,9.879044
3687334333,0.000175,-0.001215,0.001681,0.155105,-0.046898,9.772753
3697334333,0.000167,-0.001118,0.001387,0.090223,-0.072968,9.682995
3707334333,0.000175,-0.001003,0.001239,-0.035707,-0.068362,9.607471
3717334333,0.000170,-0.000739,0.000985,-0.165740,-0.074852,9.480982
3727334333,0.000239,-0.000574,0.000700,-0.314741,-0.025417,9.422165
3737334333,0.000220,-0.000362,0.000456,-0.344169,-0.022208,9.397947
3747334333,0.000239,-0.000161,0.000133,-0.319325,-0.036236,9.404052
3757334333,0.000227,0.000073,-0.000099,-0.320537,-0.020857,9.427329
3767334333,0.000213,0.000269,-0.000397,-0.338605,-0.027736,9.458961
3777334333,0.000203,0.000346,-0.000658,-0.353995,0.012336,9.424196
3787334333,0.000163,0.000517,-0.000853,-0.341329,-0.005789,9.462078
3797334333,0.000173,0.000658,-0.001057,-0.388375,0.001159,9.467434
3807334333,0.000128,0.000809,-0.001199,-0.382665,-0.028609,9.451961
3817334333,-0.000010,0.000918,-0.001374,-0.392119,-0.062322,9.456579
3827334333,-0.000106,0.001009,-0.001525,-0.365221,-0.017928,9.453672
3837334333,-0.000227,0.001100,-0.001646,-0.413987,-0.033276,9.507400
3847334333,-0.000364,0.001158,-0.001791,-0.382004,-0.031924,9.549462
3857334333,-0.000441,0.001294,-0.001879,-0.423484,-0.031197,9.580643
3867334333,-0.000529,0.001192,-0.001890,-0.417021,0.003337,9.642727
3877334333,-0.000539,0.001104,-0.001936,-0.423788,-0.014748,9.722573
